procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 81619664 228408 398794400    0    0     0 11409 31405 98187  9  2 89  0  0
49  0      0 81614144 228408 398795584    0    0     0 11598 32666 101415  9  2 89  0  0
12  0      0 81563240 228408 398800672    0    0     0 11134 34263 99231  9  2 89  0  0
 7  0      0 81640592 228408 398798720    0    0     0 11151 31381 97034  6  2 91  0  0
 9  0      0 81636888 228408 398799168    0    0     0  5463 23314 51060  7  1 92  0  0
 6  0      0 81625696 228412 398800128    0    0     0  5448 20831 57713  8  1 91  0  0
10  2      0 81634504 228412 398800224    0    0     0  5074 22592 57966 10  1 89  0  0
 7  0      0 81630752 228412 398802208    0    0     0  4505 21654 56307  9  1 90  0  0
22  0      0 81387432 228412 398807360    0    0     0 12009 43975 118354 11  3 86  0  0
10  0      0 81624728 228420 398814656    0    0     0 11745 33548 93854  8  2 89  0  0
12  1      0 81637104 228420 398815936    0    0     0 14182 40818 112236  9  3 88  0  0
 7  0      0 81629344 228420 398822144    0    0     0 14224 39367 122188 11  3 86  0  0
13  1      0 81625088 228420 398820160    0    0     0 14387 40793 124278 10  3 87  0  0
 7  0      0 81635176 228420 398825664    0    0     0 13478 43282 119297 11  3 86  0  0
 7  0      0 81671872 228420 398823552    0    0     0  5671 22856 56174  8  1 91  0  0
 5  0      0 81712928 228420 398824192    0    0     0  5416 20122 47828  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 81688464 228420 398825120    0    0     0  5383 49187 59942  8  1 91  0  0
 4  0      0 81683088 228420 398825152    0    0     0  5752 23503 56286  8  1 92  0  0
 7  0      0 81716256 228420 398825696    0    0     1  6207 25029 61121  8  1 91  0  0
 4  0      0 81740048 228424 398827264    0    0     0  5859 23299 58298  8  1 90  0  0
12  0      0 81532432 228424 398828416    0    0     0  6618 23101 61792  8  1 91  0  0
 3  0      0 97722640 228424 398813632    0    0     0  5815 20296 42530  4  1 95  0  0
10  0      0 97995968 228424 398813408    0    0     0  5466 21364 47540  5  1 94  0  0
 3  0      0 97980040 228428 398814336    0    0     0  5578 17803 42665  4  1 95  0  0
 4  0      0 97921712 228428 398814432    0    0     0  6339 18551 46458  3  0 96  0  0
10  0      0 97846912 228436 398815584    0    0     0  5464 19638 45683  4  1 96  0  0
 8  0      0 97829376 228436 398816128    0    0     0  5911 17722 43030  3  0 96  0  0
 5  0      0 97834752 228436 398816192    0    0     0  5703 17285 48377  3  0 96  0  0
 5  0      0 97900616 228436 398817568    0    0     0  6495 18561 44672  4  1 96  0  0
 3  0      0 97885920 228436 398817952    0    0     0  5867 19715 47712  4  1 96  0  0
 3  0      0 97866368 228436 398818912    0    0     0  6675 17084 43367  3  0 96  0  0
 3  0      0 97853144 228436 398818464    0    0     0  5756 18194 43661  4  0 96  0  0
 5  0      0 97898800 228440 398819456    0    0     0  5498 20186 44826  4  1 95  0  0
 6  0      0 97929920 228440 398820160    0    0     0  5619 19959 44371  4  1 95  0  0
 4  0      0 97904128 228440 398823904    0    0     0  5605 19355 39930  4  1 95  0  0
 3  0      0 97879616 228444 398821216    0    0    10  4918 19963 42565  4  1 95  0  0
 6  0      0 97627624 228444 398821888    0    0     0  6729 19647 41847  4  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 97304912 228444 398822656    0    0     0  4796 21144 42437  6  1 93  0  0
 8  0      0 97041584 228444 398823168    0    0     0  4569 19716 52267  5  2 93  0  0
 7  0      0 97152128 228444 398823584    0    0     0  4683 18182 41890  5  1 94  0  0
 7  0      0 97093928 228444 398823648    0    0     0  4281 17357 38775  5  1 94  0  0
 6  0      0 96160128 228444 400022336    0    0     0  5837 15248 37308  4  1 95  0  0
 7  0      0 97345760 228448 398825920    0    0     0 32730 16757 40454  4  1 95  0  0
 6  1      0 97345712 228448 398827584    0    0     0 489780 22053 39995  5  2 93  0  0
 6  0      0 97448280 228452 398828000    0    0     0  5407 15881 37584  5  1 95  0  0
 5  0      0 97430320 228452 398828704    0    0     0  5993 17031 39921  4  1 95  0  0
 7  0      0 97419008 228452 398829664    0    0     0  5032 18968 42131  5  1 94  0  0
 4  0      0 97414048 228460 398833024    0    0     0  5990 18768 43924  5  1 94  0  0
 6  0      0 97391920 228460 398830720    0    0     0  5858 15810 39318  4  0 95  0  0
 4  0      0 97492384 228460 398830976    0    0     0  5271 18522 43293  5  1 94  0  0
 3  0      0 97464352 228460 398832256    0    0     0  5948 18380 43495  5  1 94  0  0
 6  0      0 97434800 228468 398835200    0    0     0  5042 17143 46619  5  1 94  0  0
 6  0      0 97395424 228468 398832896    0    0     0  5076 18351 43028  5  1 95  0  0
 3  0      0 97496864 228468 398833632    0    0     0  4893 19339 44425  5  1 94  0  0
 4  0      0 97441336 228468 398833920    0    0     0  4912 17070 42157  5  1 95  0  0
 5  0      0 97499152 228468 398834688    0    0     0  6052 17106 41611  5  1 95  0  0
24  0      0 98500448 228468 398821952    0    0     0  4754 21133 46207  7  1 92  0  0
16  0      0 97181712 228468 398821728    0    0     0  6828 21090 44645 14  1 84  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0      0 96986448 228468 398825536    0    0     0 10438 27636 74071 12  1 87  0  0
12  0      0 96791280 228468 398824576    0    0     0 12515 28498 77787  8  1 90  0  0
 9  0      0 96765880 228468 398826880    0    0     0 12924 28033 75958  8  2 90  0  0
 9  0      0 96664464 228476 398829024    0    0     0 14197 28904 77283  7  1 91  0  0
 9  0      0 96708320 228480 398831520    0    0     0 15069 27921 78105  7  2 91  0  0
10  0      0 96742976 228488 398836928    0    0     0 14462 27773 81652  7  2 92  0  0
 8  1      0 96679552 228492 398836128    0    0     0 16105 28224 82704  7  1 91  0  0
10  1      0 96723584 228492 398840864    0    0     0 16136 26256 79754  6  1 93  0  0
 8  0      0 96778256 228492 398844896    0    0     0 16464 25890 82465  6  1 93  0  0
 7  0      0 96719136 228492 398847200    0    0     0 15876 26101 77974  6  1 92  0  0
 8  0      0 96621792 228492 398851360    0    0     0 16213 26769 81959  6  1 92  0  0
 6  1      0 96679416 228492 398856448    0    0     0 16422 25758 88431  6  1 93  0  0
 8  0      0 96600416 228500 398857024    0    0     0 16406 26591 80059  6  1 92  0  0
 5  0      0 96638768 228500 398862880    0    0     0 17121 26558 82058  7  1 92  0  0
24  0      0 96694384 228500 398862336    0    0     0 16474 25451 80499  6  1 93  0  0
 7  0      0 96607816 228500 398865184    0    0     0 17497 25769 79212  7  1 92  0  0
10  0      0 96664000 228500 398867904    0    0     0 16903 28201 82298  6  1 92  0  0
10  0      0 96600992 228500 398873920    0    0     0 17246 26280 90346  6  1 93  0  0
 6  0      0 96651688 228508 398873568    0    0     0 16897 24000 79069  6  1 93  0  0
13  1      0 96580776 228508 398876576    0    0     0 16713 27416 80541  7  1 92  0  0
10  0      0 96616896 228512 398879648    0    0     1 16740 24563 78186  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 96687056 228512 398881984    0    0     0 17356 25765 82112  6  1 93  0  0
69  0      0 96629552 228520 398884928    0    0     0 16524 26654 78934  7  1 92  0  0
11  1      0 96575408 228520 398887136    0    0     0 16371 27291 78429  7  1 92  0  0
 9  0      0 96645936 228520 398889856    0    0     0 17018 28055 81198  7  2 91  0  0
 9  0      0 96583408 228520 398892768    0    0     0 17398 28716 84857  7  1 92  0  0
 7  0      0 96667720 228520 398896544    0    0     0 17117 27225 78819  7  1 92  0  0
 9  0      0 96442384 228520 399028544    0    0     0 24512 26593 78321  6  1 92  0  0
 7  0      0 96493824 228520 399031232    0    0     0 16000 27645 76345  7  1 92  0  0
17  0      0 96522512 228520 399037632    0    0     0 42983 29350 87765  7  2 91  0  0
10  0      0 96461408 228520 399031104    0    0     0 34744 27802 78879  7  1 91  0  0
 8  1      0 96506648 228520 399031104    0    0     0 17278 25128 79644  6  1 93  0  0
10  0      0 96516744 228520 399036160    0    0     0 18559 23786 80542  6  1 93  0  0
 8  0      0 96549200 228520 399038976    0    0     0 17774 25743 80871  6  1 93  0  0
10  0      0 96610208 228520 399042816    0    0     0 18561 26809 83739  6  1 93  0  0
 6  1      0 96661256 228520 399049504    0    0     0 16786 25821 79008  6  1 93  0  0
 9  0      0 96558416 228520 399052064    0    0     0 18371 25795 83242  6  1 93  0  0
 7  0      0 96599976 228520 399051744    0    0     0 18640 28392 86216  7  1 92  0  0
