procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 151053168  60780 352914976    0    0     0 59087 15000 30230  4  1 96  0  0
 6  0      0 150962496  60780 352923776    0    0   659 41506 17005 34639  4  1 95  0  0
 4  0      0 150979184  60780 352934528    0    0   266   154 14674 31215  4  1 96  0  0
 6  0      0 150988368  60780 352924992    0    0     6    98 11327 24489  4  0 96  0  0
 3  0      0 152981760  60780 352901184    0    0     0   122 9545 18533  3  0 96  0  0
 3  0      0 152977568  60780 352901184    0    0     0   344 8401 17867  3  0 97  0  0
 4  0      0 152979744  60788 352901248    0    0     0  4630 9459 18944  3  0 97  0  0
 5  0      0 152689360  60788 352902144    0    0     0 38858 21193 30301  4  1 95  0  0
 6  0      0 152682688  60788 352902720    0    0     6 36852 18308 33319  4  1 95  0  0
 6  0      0 152554048  60788 352902816    0    0     0   114 17377 38080  3  1 96  0  0
 5  0      0 152667008  60788 352903296    0    0   131    86 17479 38598  3  1 96  0  0
 4  0      0 152542976  60788 352903424    0    0     0   195 17698 37017  4  1 96  0  0
 4  0      0 152583088  60796 352903456    0    0     0  8033 17466 36939  3  1 96  0  0
 6  0      0 152662880  60796 352903488    0    0     0   209 12483 27517  3  1 96  0  0
 5  0      0 152497760  60796 352937088    0    0  7014   138 12048 23747  3  1 96  0  0
 4  0      0 152890144  60796 352938656    0    0     0   267 9246 18715  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 152964848  60796 352938208    0    0     2   275 9183 19238  3  0 97  0  0
 4  0      0 152884720  60796 352938368    0    0    18   311 10860 21744  3  0 96  0  0
 5  0      0 152893984  60804 352938400    0    0     0   674 9089 19566  3  0 97  0  0
 4  0      0 152822608  60812 352938432    0    0     0   238 10191 21215  3  0 96  0  0
 5  0      0 152729024  60812 352938432    0    0     0   202 9334 19016  4  0 96  0  0
 3  0      0 152911648  60812 352938528    0    0     0   106 8647 18133  3  0 97  0  0
 5  0      0 152801328  60812 352938528    0    0     0   202 11414 21397  3  1 96  0  0
 4  0      0 152866176  60812 352938688    0    0     0   328 13282 23587  3  1 96  0  0
 4  0      0 152906976  60820 352939168    0    0     1   814 11436 21093  3  1 96  0  0
 3  0      0 152830400  60820 352939232    0    0     0   351 9614 20589  3  0 97  0  0
 3  0      0 152960784  60820 352939264    0    0     1   295 8150 18279  3  0 97  0  0
 4  0      0 152826048  60820 352939328    0    0     0   205 10299 20502  3  0 97  0  0
 6  0      0 152962704  60820 352939328    0    0     0    86 9002 19700  3  0 97  0  0
 4  0      0 152923584  60820 352939392    0    0     0   223 8957 19610  3  0 97  0  0
 3  0      0 152861792  60828 352939456    0    0     0   740 10378 21062  3  0 97  0  0
 3  0      0 152976656  60828 352939488    0    0     0   372 8620 19273  3  0 97  0  0
 3  0      0 152791488  60828 352939488    0    0     0   121 10139 19625  3  0 97  0  0
 4  0      0 152953552  60828 352948096    0    0   915   811 8523 18885  3  0 97  0  0
 3  0      0 152945760  60828 352948704    0    0     1   677 8652 18545  3  0 97  0  0
 3  0      0 152760832  60828 352948960    0    0     0   213 10996 21814  3  0 97  0  0
 3  0      0 152944704  60836 352949760    0    0     0  1298 8425 18233  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 152803808  60836 352950048    0    0     0   122 8844 20002  3  0 97  0  0
 7  0      0 152938160  60836 352950336    0    0     1   558 12171 21869  3  1 96  0  0
 5  0      0 152890144  60836 352950624    0    0     1   284 13033 22622  3  1 96  0  0
 3  0      0 152807856  60836 352951136    0    0     0    76 10402 19333  3  0 97  0  0
 3  0      0 152946016  60836 352951392    0    0     0   208 8214 17144  3  0 97  0  0
 5  0      0 152875824  60844 352951936    0    0     0   257 9237 18804  3  0 97  0  0
 4  0      0 152870592  60844 352952192    0    0     0   139 8546 17825  3  0 97  0  0
 5  0      0 152944048  60844 352952448    0    0     0   736 8561 20517  3  0 97  0  0
 3  0      0 152788752  60844 352952704    0    0     0    70 10219 19298  3  0 97  0  0
 3  0      0 152933920  60844 352953248    0    0     0    82 9028 19654  3  0 97  0  0
 3  0      0 152931552  60844 352953760    0    0     0   291 8645 18068  3  0 97  0  0
 3  0      0 152896944  60852 352954016    0    0     0   246 9302 18564  3  0 97  0  0
 4  0      0 152875024  60852 352954528    0    0     0   124 8395 18237  3  0 97  0  0
 3  0      0 152919024  60852 352954880    0    0     0   596 8387 17113  3  0 97  0  0
 3  0      0 152934496  60852 352955136    0    0     0   605 9625 19176  3  0 97  0  0
 5  0      0 152920064  60852 352955136    0    0     0    93 8649 17571  3  0 97  0  0
 4  0      0 152900432  60868 352955168    0    0     0   205 8921 18679  3  0 97  0  0
 4  0      0 152884112  60868 352955168    0    0     0   143 11731 20394  3  1 96  0  0
 4  0      0 152852144  60868 352955168    0    0     0   313 11971 20388  3  1 96  0  0
 4  0      0 152859344  60868 352955200    0    0     0    80 8207 16543  3  0 97  0  0
 4  0      0 152678704  60868 352955776    0    0   114   185 8987 17368  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 152414208  60868 352955904    0    0    26   136 9478 18113  4  0 96  0  0
 4  0      0 152422944  60868 352962592    0    0   132   231 9151 19211  3  0 96  0  0
 4  0      0 152195600  60876 352976064    0    0     0  3993 8865 19030  3  0 96  0  0
 5  0      0 152567072  60876 353000928    0    0     0   288 10340 20403  3  0 97  0  0
 3  0      0 152766816  60876 353000928    0    0     0  5196 8402 17838  3  0 97  0  0
 3  0      0 152619280  60876 353000960    0    0     0    88 8404 18083  3  0 97  0  0
 3  0      0 152749632  60876 353000960    0    0     0    76 9192 18601  3  0 97  0  0
 3  0      0 152671968  60884 353000960    0    0     0    70 8738 17995  3  0 97  0  0
 4  0      0 152620576  60892 353001152    0    0     0   340 8814 18191  3  0 97  0  0
 3  0      0 152720448  60892 353004480    0    0   607   382 8781 18992  3  0 97  0  0
 3  0      0 152620320  60892 353004832    0    0     1    78 7950 17232  3  0 97  0  0
 5  0      0 152723392  60892 353005184    0    0     0   154 10120 19319  3  0 97  0  0
 6  0      0 152653744  60892 353005632    0    0     0    80 11377 18855  3  1 96  0  0
 4  0      0 152731872  60892 353006272    0    0     0   238 12172 21130  3  1 96  0  0
 3  0      0 152769024  60900 353006816    0    0     0   591 8571 18339  3  0 97  0  0
 3  0      0 152671744  60900 353007168    0    0     0   958 7982 17642  3  0 97  0  0
 5  0      0 152725408  60900 353007712    0    0     0    74 9130 18088  3  0 97  0  0
 4  0      0 152678128  60900 353008096    0    0     0   186 9043 18666  3  0 97  0  0
 5  0      0 152685072  60900 353008928    0    0     0   533 8845 18310  3  0 97  0  0
 5  0      0 152673264  60900 353009280    0    0     0   138 9874 19409  3  0 97  0  0
 3  0      0 152590432  60908 353009632    0    0     2   774 8539 17777  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 152699808  60916 353010336    0    0     0   238 8774 18044  3  0 97  0  0
 3  0      0 152631632  60916 353010784    0    0     0   102 8489 16810  3  0 97  0  0
 3  0      0 152639840  60916 353011392    0    0     0   152 7461 16138  3  0 97  0  0
 5  0      0 152625600  60924 353012000    0    0     0   103 9609 18972  3  0 97  0  0
 3  0      0 152605376  60924 353012512    0    0     0   207 7905 16206  3  0 97  0  0
12  0      0 152691376  60932 353013184    0    0     0   776 8055 16782  3  0 97  0  0
 5  0      0 152624112  60932 353013888    0    0     0   239 11761 22266  3  1 96  0  0
 7  0      0 152627776  60932 353014464    0    0     0   146 12291 21683  3  1 96  0  0
 3  0      0 152708096  60932 353015104    0    0     0   211 11311 21194  3  0 96  0  0
 3  0      0 152593872  60932 353016192    0    0     0    82 8020 17390  3  0 97  0  0
 5  0      0 152630512  60932 353016864    0    0     0   162 8577 18119  3  0 97  0  0
 3  0      0 152624512  60940 353018720    0    0     0  1189 9899 19234  3  0 97  0  0
 5  0      0 152642464  60940 353019424    0    0     0   344 7958 17123  3  0 97  0  0
 6  0      0 152695104  60940 353019424    0    0     0    90 9777 19027  3  0 97  0  0
 3  0      0 152632896  60940 353019456    0    0     0   178 8143 17570  3  0 97  0  0
23  0      0 152688448  60940 353019456    0    0     0   132 8446 17822  3  0 97  0  0
 3  0      0 152587680  60940 353019456    0    0     0   218 9228 17983  3  0 97  0  0
 3  0      0 152630672  60948 353019456    0    0     0   389 7656 16578  3  0 97  0  0
 5  0      0 152517296  60948 353046400    0    0     2   117 9393 18929  3  1 96  0  0
 5  0      0 151979328  60948 353056672    0    0     0   300 11620 19044  5  0 95  0  0
 6  0      0 152005648  60948 353056800    0    0     0   446 9306 17832  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 152058000  60948 353056800    0    0     0    86 9008 17231  4  0 96  0  0
 4  0      0 148686112  60948 353056832    0    0     0   155 14274 30296  5  4 91  0  0
 7  0      0 136422976  60956 353056832    0    0     0   117 18889 25638  6 11 83  0  0
 7  0      0 143511136  60956 353056832    0    0     0  5453 11662 17137  7  3 91  0  0
 5  0      0 147244768  60956 353067616    0    0  2104  2867 20051 72415  7  1 92  0  0
 4  0      0 146644192  60956 353069248    0    0     0   233 17260 41440 16  1 83  0  0
 3  0      0 146531216  60956 353069568    0    0     0   102 23807 29247 16  1 83  0  0
 5  0      0 145795904  60956 353071040    0    0     0   240 17874 32913 16  1 83  0  0
 3  0      0 145340784  60964 353072672    0    0     0   518 16734 17214 16  1 83  0  0
 3  0      0 145647632  60964 353072416    0    0    18    76 16902 19341 16  1 83  0  0
 5  0      0 146076800  60964 353094848    0    0  5270   629 11581 18218 10  1 89  0  0
 5  0      0 146071344  60964 353095680    0    0     0   174 10577 19726  4  0 95  0  0
 3  0      0 145525056  60964 353095872    0    0    26    88 17330 18225 13  1 86  0  0
 4  0      0 145439296  60964 353096096    0    0     3   190 21768 17498 15  1 84  0  0
 6  0      0 145733504  60972 353095328    0    0     0   286 10065 18133  5  0 95  0  0
 5  0      0 145706048  60972 353095360    0    0     0    80 8421 20004  4  0 96  0  0
 6  0      0 145730512  60972 353096640    0    0     0   324 9516 18117  4  0 95  0  0
 4  0      0 145445376  60972 353095680    0    0     0   150 22131 23284 12  1 87  0  0
 5  0      0 145296464  60972 353096896    0    0     0   301 23085 21603 16  1 82  0  0
 3  0      0 145197200  60972 353097472    0    0     0   151 18998 18049 16  1 83  0  0
 5  0      0 145540416  60980 353095488    0    0     0   105 10938 17539  9  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 145594880  60980 353096352    0    0     0   176 8941 16954  4  0 95  0  0
 6  0      0 145727760  60980 353095520    0    0     0   273 8952 19620  4  0 96  0  0
 5  0      0 145575632  60980 353096384    0    0     2   158 8131 16495  4  0 96  0  0
 5  0      0 145593840  60980 353096032    0    0     1   238 10212 18759  4  0 95  0  0
 4  0      0 145665136  60996 353104832    0    0     0   144 8286 18478  3  0 96  0  0
 3  0      0 145748544  60996 353104896    0    0     0   124 7906 18649  3  0 97  0  0
 3  0      0 145717600  60996 353104960    0    0     0   167 9499 19721  3  0 96  0  0
 4  0      0 145681856  60996 353105088    0    0     8   411 7891 17866  3  0 97  0  0
 5  0      0 145738416  60996 353105152    0    0     0   246 8888 18913  3  0 96  0  0
 5  0      0 145620960  60996 353105216    0    0     1    82 8399 18358  3  0 97  0  0
 4  0      0 145699616  60996 353105280    0    0     0  2014 7433 16894  3  0 97  0  0
 8  0      0 145664800  60996 353105376    0    0     0   279 10568 20343  4  1 96  0  0
 5  0      0 145685472  60996 353105440    0    0     0   131 11993 22599  4  1 95  0  0
 4  0      0 145677152  60996 353105472    0    0     1   383 11525 21300  4  1 96  0  0
 3  0      0 152338576  60996 353095360    0    0     0   162 9502 20310  3  0 97  0  0
 3  0      0 152478496  60996 353095936    0    0     0   520 7542 15979  3  0 97  0  0
 4  0      0 152439088  61004 353095936    0    0     2   113 9292 16981  3  0 97  0  0
 3  0      0 152386016  61012 353095936    0    0     0   124 7722 16350  3  0 97  0  0
 3  0      0 152474784  61012 353095968    0    0     0   242 7822 17084  3  0 97  0  0
 3  0      0 152288768  61020 353095968    0    0     0   105 9204 18385  3  0 97  0  0
 3  0      0 152484080  61020 353095968    0    0     0   483 7370 15874  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 152412944  61020 353095968    0    0     0    86 9188 18714  3  0 97  0  0
 3  0      0 152412256  61020 353096000    0    0     0   263 8575 18382  3  0 97  0  0
